participant_id,fitting_status,target_of_interaction,sitting_distance,sitting_angle,social_behavior,nonsocial_behavior,social_behavior_percentage,moving_score_percentage,laughing_score_percentage,gazing_score_percentage,talking_score_percentage,touching_score_percentage,other_score_percentage
KI06RD29,Mismatch,Human,Far,45 degrees,26.0,13.0,66.66666666666666,0.0,15.384615384615385,5.128205128205128,35.8974358974359,0.0,10.256410256410255
OU05KO20,Match,Human,mid,Parallel,3.0,21.0,12.5,8.333333333333332,0.0,0.0,0.0,0.0,4.166666666666666
ez08io26,Mismatch,Human,Close,45 degrees,17.0,9.0,65.38461538461539,3.8461538461538463,3.8461538461538463,11.538461538461538,42.30769230769231,0.0,3.8461538461538463
AZ05IM08,Mismatch,Robot,Close,Parallel,1.0,26.0,3.7037037037037033,3.7037037037037033,0.0,0.0,0.0,0.0,0.0
MA06EF18,Match,Human,mid,45 degrees,19.0,15.0,55.88235294117647,2.941176470588235,2.941176470588235,20.588235294117645,29.411764705882355,0.0,0.0
ER05ME01,,Human,Far,Parallel,27.0,22.0,55.10204081632652,10.204081632653061,6.122448979591836,8.16326530612245,26.53061224489796,0.0,4.081632653061225
ER10AS25,Mismatch,Human,Close,45 degrees,9.0,9.0,50.0,5.555555555555555,16.666666666666664,11.11111111111111,16.666666666666664,0.0,0.0
ON07CH19,Mismatch,Robot,Close,parallel,14.0,9.0,60.86956521739131,8.695652173913043,0.0,30.434782608695656,0.0,0.0,21.73913043478261
ER09LM10,Mismatch,Human,mid,45 degrees,16.0,10.0,61.53846153846154,0.0,0.0,34.61538461538461,26.923076923076923,0.0,0.0
TZ05ER13,Mismatch,Human,Far,Parallel,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DL04US27,Mismatch,Human,Far,Parallel,15.0,9.0,62.5,4.166666666666666,0.0,25.0,29.166666666666668,0.0,4.166666666666666
EL04RL21,Mismatch,Human,close,parallel,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG08ER31,Mismatch,Human,close,Parallel,12.0,22.0,35.294117647058826,0.0,2.941176470588235,5.88235294117647,26.47058823529412,0.0,0.0
HM07NG15,Mismatch,Human,Far,45 degrees,29.0,24.0,54.71698113207547,5.660377358490567,0.0,11.320754716981133,18.867924528301888,0.0,7.547169811320755
YO07AN15,Mismatch,Robot,Mid,Parallel,3.0,16.0,15.789473684210526,10.526315789473683,0.0,5.263157894736842,0.0,0.0,0.0
SE08NZ15,,Human,Close,Parallel ,32.0,7.0,82.05128205128204,10.256410256410255,7.6923076923076925,25.64102564102564,35.8974358974359,0.0,2.564102564102564
VA06CK23,Match,Human,far,Parallel,14.0,8.0,63.63636363636363,0.0,4.545454545454546,0.0,50.0,0.0,9.090909090909092
EN07ES21,Match,Human,far,Parallel,14.0,10.0,58.333333333333336,0.0,4.166666666666666,20.833333333333336,29.166666666666668,0.0,4.166666666666666
er04ls18,Mismatch,Robot,Close,Parallel,1.0,18.0,5.263157894736842,5.263157894736842,0.0,0.0,0.0,0.0,0.0
AU10EL17,Mismatch,Human,Far,parallel,17.0,8.0,68.0,4.0,8.0,4.0,48.0,0.0,4.0
EZ08IO17,Match,Human,Mid,Parallel,4.0,6.0,40.0,10.0,0.0,30.0,0.0,0.0,0.0
ER09NN29,Match,Human,mid,Parallel,18.0,8.0,69.23076923076923,3.8461538461538463,0.0,11.538461538461538,53.84615384615385,0.0,0.0
ER03RK11,Match,Human,Far,Parallel,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EI08RG16,Mismatch,Robot,Close,Parallel,14.0,25.0,35.8974358974359,5.128205128205128,0.0,30.76923076923077,0.0,0.0,0.0
ER07NG16,Match,Human,Mid,Parallel,1.0,4.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0
NE06CH24,Match,Robot,mid,Parallel,28.0,9.0,75.67567567567568,5.405405405405405,2.7027027027027026,43.24324324324324,13.513513513513514,0.0,8.108108108108109
